Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Tyson Foerster,21,1,63,17,12,29,30,6,1022,866,154,1,12,4,1,1,0,9,3,0,1,0,21,7,1,2,0,24.1,0.950,0.670,1.620,0.791,0.593,1.384,1.477,1.108,2.585,0.270,0.190,0.460,139,12.2,74,41,0,1,0.00
Anders Lee,33,1,66,17,12,29,46,0,940,837,102,0,12,5,0,2,0,12,0,0,0,0,24,5,0,2,0,17.2,0.986,0.696,1.682,0.781,0.781,1.562,2.666,0.000,2.666,0.258,0.182,0.439,151,11.3,145,42,10,15,40.00
Yegor Chinakhov,22,1,53,16,13,29,6,-3,910,776,113,20,15,1,0,3,0,12,1,0,2,0,27,2,0,5,0,6.9,1.194,0.970,2.164,1.312,1.050,2.362,0.600,0.600,1.201,0.302,0.245,0.547,110,14.6,43,28,1,13,7.14
Tom Wilson,29,1,64,16,13,29,116,-19,1086,838,137,110,9,5,2,3,0,11,2,0,1,0,20,7,2,4,0,24.1,0.828,0.673,1.501,0.604,0.738,1.341,2.046,0.818,2.864,0.250,0.203,0.453,145,11.0,192,62,21,37,36.21
Andrei Kuzmenko,27,1,57,13,16,29,10,-6,857,663,193,0,8,5,0,3,0,11,5,0,3,0,19,10,0,6,0,34.5,0.958,1.179,2.136,0.761,1.047,1.808,1.631,1.631,3.263,0.228,0.281,0.509,85,15.3,10,15,1,0,100.00
Michael Rasmussen,24,1,67,13,16,29,39,12,918,798,9,109,12,0,1,3,0,13,0,3,1,0,25,0,4,4,0,0.0,0.760,0.936,1.696,0.807,0.874,1.681,0.000,0.000,0.000,0.194,0.239,0.433,89,14.6,119,69,58,60,49.15
Connor Zary,22,1,50,12,17,29,16,17,920,779,140,0,11,1,0,2,0,14,3,0,4,0,25,4,0,6,0,13.8,0.939,1.330,2.269,1.016,1.294,2.310,0.512,1.536,2.047,0.240,0.340,0.580,66,18.2,22,22,8,16,33.33
Ivan Provorov,26,0,67,5,24,29,18,-10,1332,1062,101,168,5,0,0,0,0,17,7,0,4,0,22,7,0,4,0,24.1,0.202,0.968,1.169,0.253,0.860,1.112,0.000,3.716,3.716,0.075,0.358,0.433,88,5.7,52,123,0,0,0.00
Dawson Mercer,22,1,67,17,11,28,10,-20,1026,837,81,108,14,3,0,2,0,10,1,0,1,0,24,4,0,3,0,14.3,0.890,0.576,1.465,0.898,0.642,1.540,1.988,0.663,2.650,0.254,0.164,0.418,111,15.3,23,41,118,138,46.09
Robby Fabbri,27,1,53,16,12,28,26,-11,775,649,123,2,12,4,0,3,0,7,5,0,3,0,19,9,0,6,0,32.1,1.401,1.051,2.452,1.254,0.732,1.986,2.207,2.758,4.965,0.302,0.226,0.528,75,21.3,51,22,53,43,55.21
