Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Gustav Forsling,27,0,24,2,5,7,16,14,1376,1141,60,174,1,1,0,0,0,5,0,0,0,0,6,1,0,0,0,14.3,0.218,0.545,0.763,0.131,0.657,0.788,2.462,0.000,2.462,0.083,0.208,0.292,47,4.3,24,32,0,0,0.00
Conor Garland,27,1,25,2,5,7,8,3,786,709,77,0,2,0,0,0,0,4,1,0,2,0,6,1,0,2,0,14.3,0.366,0.915,1.281,0.406,0.812,1.217,0.000,1.864,1.864,0.080,0.200,0.280,54,3.7,10,8,0,1,0.00
Juraj Slafkovsky,19,1,25,2,5,7,14,-5,905,781,123,0,1,1,0,0,0,5,0,0,0,0,6,1,0,0,0,14.3,0.318,0.795,1.113,0.184,0.921,1.105,1.169,0.000,1.169,0.080,0.200,0.280,34,5.9,40,20,6,8,42.86
Anthony DeAngelo,28,0,16,1,6,7,12,-10,970,762,204,4,0,1,0,0,0,3,3,0,1,1,3,4,0,1,1,57.1,0.232,1.390,1.622,0.000,0.886,0.886,1.100,3.300,4.400,0.063,0.375,0.438,28,3.6,1,9,0,0,0.00
Andreas Englund,27,0,21,1,6,7,29,9,743,680,0,62,1,0,0,0,0,6,0,0,2,0,7,0,0,2,0,0.0,0.231,1.384,1.614,0.252,1.511,1.763,0.000,0.000,0.000,0.048,0.286,0.333,9,11.1,46,21,0,0,0.00
Nikita Zadorov,28,0,22,1,6,7,23,-4,1101,991,9,101,1,0,0,0,0,6,0,0,1,0,7,0,0,1,0,0.0,0.148,0.891,1.039,0.165,0.991,1.156,0.000,0.000,0.000,0.045,0.273,0.318,29,3.5,41,21,0,0,0.00
Christopher Tanev,34,0,24,1,6,7,4,5,1149,974,4,170,1,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0.0,0.130,0.783,0.913,0.154,0.924,1.078,0.000,0.000,0.000,0.042,0.250,0.292,23,4.4,9,59,0,0,0.00
Adam Larsson,31,0,26,1,6,7,16,-6,1420,1229,11,178,1,0,0,0,0,5,0,1,1,0,6,0,1,1,0,0.0,0.098,0.585,0.683,0.113,0.563,0.676,0.000,0.000,0.000,0.038,0.231,0.269,52,1.9,48,51,0,0,0.00
Jamie Oleksiak,31,0,26,1,6,7,15,-1,1182,999,1,182,1,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0.0,0.117,0.702,0.820,0.139,0.831,0.970,0.000,0.000,0.000,0.038,0.231,0.269,30,3.3,31,66,0,0,0.00
Ryan McDonagh,34,0,17,0,7,7,4,5,1224,1033,17,173,0,0,0,0,0,6,1,0,0,0,6,1,0,0,0,14.3,0.000,1.211,1.211,0.000,1.230,1.230,0.000,12.329,12.329,0.000,0.412,0.412,17,0.0,13,33,0,0,0.00
Nils Lundkvist,23,0,21,0,7,7,10,4,875,783,91,1,0,0,0,0,0,6,1,0,1,0,6,1,0,1,0,14.3,0.000,1.370,1.370,0.000,1.313,1.313,0.000,1.882,1.882,0.000,0.333,0.333,23,0.0,9,14,0,0,0.00
Darren Raddysh,27,0,26,0,7,7,4,-11,1120,1062,10,47,0,0,0,0,0,7,0,0,1,0,7,0,0,1,0,0.0,0.000,0.865,0.865,0.000,0.912,0.912,0.000,0.000,0.000,0.000,0.269,0.269,29,0.0,18,33,0,0,0.00
Taylor Raddysh,25,1,23,4,2,6,8,0,974,752,107,113,2,1,1,0,0,2,0,0,0,0,4,1,1,0,0,16.7,0.643,0.321,0.964,0.416,0.416,0.832,1.453,0.000,1.453,0.174,0.087,0.261,40,10.0,23,15,6,13,31.58
Will Cuylle,21,1,23,4,2,6,29,0,695,653,41,0,4,0,0,1,0,1,1,0,0,0,5,1,0,1,0,16.7,0.901,0.450,1.351,0.957,0.239,1.197,0.000,3.814,3.814,0.174,0.087,0.261,32,12.5,58,3,2,8,20.00
Sam Carrick,31,1,24,4,2,6,30,1,748,549,9,188,4,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0.0,0.802,0.401,1.203,1.092,0.546,1.638,0.000,0.000,0.000,0.167,0.083,0.250,29,13.8,39,11,128,118,52.03
Brett Howden,25,1,24,4,2,6,23,-1,797,711,0,85,3,0,1,0,0,2,0,0,0,0,5,0,1,0,0,0.0,0.753,0.376,1.129,0.633,0.422,1.055,0.000,0.000,0.000,0.167,0.083,0.250,27,14.8,24,15,68,69,49.64
Morgan Barron,25,1,24,4,2,6,6,1,623,486,5,130,4,0,0,1,0,1,1,0,0,0,5,1,0,1,0,16.7,0.963,0.482,1.445,1.233,0.308,1.541,0.000,27.068,27.068,0.167,0.083,0.250,35,11.4,22,17,10,15,40.00
